tag,target_mL,mode,name,unit,minimum_margin,time_s,violated
FINAL_selected,400,2,speed_envelope_boundary,rad/s,3.6530231805898197,26.31631004028948,False
FINAL_selected,400,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_selected,400,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_verified,200,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_verified,200,2,50mm_limit,m,0.11253215352866816,17.337273339189466,False
FINAL_verified,200,2,sphere_limit,m^3,0.0002656119646582514,17.203630178024557,False
FINAL_verified,200,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
FINAL_verified,200,2,speed_envelope_boundary,rad/s,4.749407588385626,12.856245963044133,False
FINAL_verified,200,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_verified,200,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_verified,300,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_verified,300,2,50mm_limit,m,0.08205869194543292,24.00225904449558,False
FINAL_verified,300,2,sphere_limit,m^3,0.00016561196470619887,23.848017891853022,False
FINAL_verified,300,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
FINAL_verified,300,2,speed_envelope_boundary,rad/s,4.37849402124255,19.55917110533054,False
FINAL_verified,300,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_verified,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_verified,400,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_verified,400,2,50mm_limit,m,0.04078785420396071,31.772579587214263,False
FINAL_verified,400,2,sphere_limit,m^3,6.561196480586242e-05,30.46943037275143,False
FINAL_verified,400,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
FINAL_verified,400,2,speed_envelope_boundary,rad/s,3.6530204231846883,26.313056860982652,False
FINAL_verified,400,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_verified,400,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_verified_tight,300,2,phase_boundary,rad,0.32797885605984956,3.042991336268917,False
FINAL_verified_tight,300,2,50mm_limit,m,0.0820586920170314,24.764738310426118,False
FINAL_verified_tight,300,2,sphere_limit,m^3,0.00016561196470625696,23.848017426568536,False
FINAL_verified_tight,300,2,extension_boundary,m,9.999999999739615e-07,0.32468826954761676,False
FINAL_verified_tight,300,2,speed_envelope_boundary,rad/s,4.378511574033671,19.56012818769684,False
FINAL_verified_tight,300,2,cable_tension_boundary,N,9.999640098573213e-06,0.07414422548491709,False
FINAL_verified_tight,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
